review,analysis,k,early_effect,final_effect,decay_ratio,direction_change,trajectory_cv,max_cumulative_shift,studies_per_year,span_years,mafi_score,mafi_class,I2,estimate_re,significant,fpi_k_component,fpi_bias_component,fpi_stability_component,fpi_decay_component,fpi_score,fpi_class
CD004736_pub6_data.rds,16::overall,13,1.447318,-0.11001,0.07601,True,3.0438,0.991933,0.433333,30.0,0.2577,Low Fragility,27.34,-0.079457,False,0.4256,0.7423,0,0.538,42.08,Volatile
CD004736_pub6_data.rds,17::overall,25,1.013988,0.234032,0.230804,False,0.5038,0.465065,0.462963,54.0,0.1347,Robust,62.59,0.412169,True,0.8176,0.8653,0.7481,0.6154,77.17,Stable
CD004736_pub6_data.rds,18::overall,26,1.013988,0.285078,0.281146,False,0.5045,0.4731,0.481481,54.0,0.111,Robust,49.32,0.388206,True,0.8389,0.889,0.7478,0.6406,78.9,Stable
CD004736_pub6_data.rds,19::overall,26,1.013988,0.093189,0.091903,False,0.5735,0.462705,0.481481,54.0,0.1799,Low Fragility,64.16,0.261962,True,0.8389,0.8201,0.7132,0.546,74.42,Stable
CD004736_pub6_data.rds,1::overall,38,-2.924906,-0.732512,0.25044,False,0.2446,0.657647,0.644068,59.0,0.1805,Low Fragility,85.94,-1.605918,True,0.9692,0.8195,0.8777,0.6252,84.01,Stable
CD004736_pub6_data.rds,20::overall,30,1.008857,0.093765,0.092942,False,0.5091,0.316869,0.555556,54.0,0.1681,Low Fragility,60.69,0.261065,True,0.9047,0.8319,0.7454,0.5465,77.5,Stable
CD004736_pub6_data.rds,21::overall,26,1.013988,0.092336,0.091062,False,0.571,0.462705,0.481481,54.0,0.1795,Low Fragility,64.01,0.256912,True,0.8389,0.8205,0.7145,0.5455,74.45,Stable
CD004736_pub6_data.rds,22::overall,22,-1.322754,-0.03301,0.024956,False,1.4558,0.940898,0.385965,57.0,0.0062,Robust,0.0,-0.03276,False,0.7408,0.9938,0.2721,0.5125,64.12,Moderate
CD004736_pub6_data.rds,23::overall,22,-1.322754,-0.081278,0.061446,False,1.019,0.627916,0.385965,57.0,0.0112,Robust,0.0,-0.080915,False,0.7408,0.9888,0.4905,0.5307,69.82,Moderate
CD004736_pub6_data.rds,24::overall,20,-1.322754,-0.172004,0.130035,False,0.7329,0.83316,0.350877,57.0,0.0181,Robust,0.0,-0.170216,False,0.6792,0.9819,0.6336,0.565,72.06,Stable
CD004736_pub6_data.rds,25::overall,22,-1.408854,-0.284638,0.202035,False,0.5426,0.937925,0.385965,57.0,0.2613,Low Fragility,62.7,-0.569872,True,0.7408,0.7387,0.7287,0.601,70.93,Stable
CD004736_pub6_data.rds,26::overall,20,-1.322754,-0.180646,0.136568,False,0.7418,0.83316,0.350877,57.0,0.0193,Robust,0.0,-0.178655,False,0.6792,0.9807,0.6291,0.5683,71.98,Stable
CD004736_pub6_data.rds,27::overall,9,-0.210125,-0.085543,0.407108,False,0.2971,0.097795,0.3,30.0,0.171,Low Fragility,0.0,-0.085543,False,0.2891,0.829,0.8515,0.7036,64.75,Moderate
CD004736_pub6_data.rds,28::overall,24,-0.464521,-0.167565,0.360726,False,0.3018,0.149786,0.666667,36.0,0.0294,Robust,7.15,-0.183172,True,0.7941,0.9706,0.8491,0.6804,82.92,Stable
CD004736_pub6_data.rds,29::overall,24,-1.924367,-0.226907,0.117913,False,0.7174,0.460985,0.521739,46.0,0.1472,Robust,61.64,-0.42253,True,0.7941,0.8528,0.6413,0.559,72.35,Stable
CD004736_pub6_data.rds,2::overall,37,-2.924906,-0.738353,0.252436,False,0.2157,0.652827,0.627119,59.0,0.1746,Low Fragility,83.15,-1.653652,True,0.9644,0.8254,0.8921,0.6262,84.39,Stable
CD004736_pub6_data.rds,30::overall,22,-1.584505,-0.196636,0.124099,False,0.856,0.985636,0.478261,46.0,0.1708,Low Fragility,78.27,-0.415847,True,0.7408,0.8292,0.572,0.562,68.49,Moderate
CD004736_pub6_data.rds,31::overall,21,-0.182643,-0.186582,1.021568,False,0.1614,0.171646,0.456522,46.0,0.0943,Robust,17.51,-0.23012,True,0.7109,0.9057,0.9193,0.9892,86.74,Stable
CD004736_pub6_data.rds,32::overall,23,-0.464521,-0.210321,0.45277,False,0.1955,0.149786,0.638889,36.0,0.1057,Robust,41.12,-0.323857,True,0.7685,0.8943,0.9022,0.7264,82.5,Stable
CD004736_pub6_data.rds,33::overall,27,-1.333088,0.499307,0.374549,True,41.4647,1.05796,0.586957,46.0,,,,,,0.8581,0.5,0,0.6873,51.99,Moderate
CD004736_pub6_data.rds,34::overall,27,0.660374,0.427831,0.647862,False,0.6606,0.925273,0.586957,46.0,,,,,,0.8581,0.5,0.6697,0.8239,71.47,Stable
CD004736_pub6_data.rds,35::overall,25,0.344145,-0.463768,1.347595,True,0.5822,0.633028,0.543478,46.0,,,,,,0.8176,0.5,0.7089,0.8262,71.27,Stable
CD004736_pub6_data.rds,36::overall,29,-0.695646,-0.638021,0.917163,False,0.2955,0.492076,0.630435,46.0,,,,,,0.8909,0.5,0.8522,0.9586,79.7,Stable
CD004736_pub6_data.rds,37::overall,27,0.677309,-0.23149,0.341779,True,1.0635,0.82904,0.586957,46.0,0.027,Robust,0.0,-0.204298,False,0.8581,0.973,0.4683,0.6709,75.19,Stable
CD004736_pub6_data.rds,38::overall,20,-0.060296,-0.094059,1.559962,False,1.5856,1.120048,0.555556,36.0,0.067,Robust,0.0,-0.104876,True,0.6792,0.933,0.2072,0.72,63.28,Moderate
CD004736_pub6_data.rds,39::overall,18,-0.335679,-0.099043,0.295053,False,0.8679,0.466361,0.4,45.0,0.0231,Robust,0.0,-0.109628,True,0.6106,0.9769,0.566,0.6475,69.84,Moderate
CD004736_pub6_data.rds,3::overall,36,-2.924906,-0.71557,0.244647,False,0.1861,0.657647,0.631579,57.0,0.1677,Low Fragility,79.38,-1.698713,True,0.9589,0.8323,0.907,0.6223,84.7,Stable
CD004736_pub6_data.rds,40::overall,20,0.52888,-0.085675,0.161992,True,10.6657,0.289353,0.666667,30.0,0.0967,Robust,0.0,-0.096727,False,0.6792,0.9033,0,0.581,54.58,Moderate
CD004736_pub6_data.rds,41::overall,17,0.53496,-0.08573,0.160255,True,7.0866,0.430105,0.377778,45.0,0.0929,Robust,0.0,-0.096824,False,0.5744,0.9071,0,0.5801,51.51,Moderate
CD004736_pub6_data.rds,42::overall,16,-0.40873,-0.087316,0.213627,False,1.0186,0.453,0.533333,30.0,0.2048,Low Fragility,0.0,-0.098388,True,0.5374,0.7952,0.4907,0.6068,60.41,Moderate
CD004736_pub6_data.rds,43::overall,6,-0.116078,0.020363,0.175426,True,1.464,0.068683,0.2,30.0,0.4284,Moderate Fragility,0.0,0.020363,False,0.2059,0.5716,0.268,0.5877,38.92,Volatile
CD004736_pub6_data.rds,44::overall,8,0.091775,-0.043753,0.47674,True,3.4911,0.165917,0.266667,30.0,0.2912,Low Fragility,0.0,-0.043753,False,0.2592,0.7088,0,0.7384,40.26,Volatile
CD004736_pub6_data.rds,45::overall,19,-2.259479,-0.658913,0.291622,False,0.3924,0.612243,0.333333,57.0,0.2143,Low Fragility,86.61,-1.19361,True,0.6457,0.7857,0.8038,0.6458,72.02,Stable
CD004736_pub6_data.rds,46::overall,12,-0.973763,-0.552866,0.567762,False,0.2287,0.354901,0.521739,23.0,0.3253,Moderate Fragility,89.15,-0.805344,True,0.3894,0.6747,0.8857,0.7839,66.37,Moderate
CD004736_pub6_data.rds,47::overall,11,-1.503794,-0.342907,0.228028,False,0.6227,1.011661,0.478261,23.0,0.3879,Moderate Fragility,70.85,-0.544156,True,0.3543,0.6121,0.6886,0.614,55.43,Moderate
CD004736_pub6_data.rds,48::overall,17,-0.193447,-0.124649,0.644356,False,0.9409,0.222452,0.414634,41.0,0.0454,Robust,0.0,-0.121837,False,0.5744,0.9546,0.5295,0.8222,70.78,Stable
CD004736_pub6_data.rds,49::overall,9,-0.275695,-0.131855,0.478264,False,1.4849,0.331122,0.128571,70.0,0.2398,Low Fragility,0.0,-0.129925,False,0.2891,0.7602,0.2575,0.7391,48.9,Volatile
CD004736_pub6_data.rds,4::overall,37,-2.924906,-0.738353,0.252436,False,0.2139,0.652827,0.627119,59.0,0.1764,Low Fragility,83.92,-1.657287,True,0.9644,0.8236,0.8931,0.6262,84.37,Stable
CD004736_pub6_data.rds,50::overall,9,0.790688,0.512033,0.647579,False,0.2073,0.320382,0.157895,57.0,0.3692,Moderate Fragility,73.8,0.527188,False,0.2891,0.6308,0.8963,0.8238,63.33,Moderate
CD004736_pub6_data.rds,51::overall,10,2.04633,0.867522,0.42394,False,0.3237,0.725579,0.175439,57.0,0.5704,High Fragility,87.35,0.94557,True,0.3208,0.4296,0.8381,0.712,55.56,Moderate
CD004736_pub6_data.rds,52::overall,6,-0.072444,-0.146874,2.027425,False,0.4722,0.122391,0.166667,36.0,0.2423,Low Fragility,0.0,-0.145286,False,0.2059,0.7577,0.7639,0.4863,53.94,Moderate
CD004736_pub6_data.rds,53::overall,21,-2.568415,-1.170566,0.455754,False,0.1609,0.382764,0.381818,55.0,0.1476,Robust,64.99,-1.589262,True,0.7109,0.8524,0.9195,0.7279,80.19,Stable
CD004736_pub6_data.rds,54::overall,14,-0.365751,-0.934637,2.555392,False,0.4246,0.420176,0.254545,55.0,0.2598,Low Fragility,71.22,-1.137455,True,0.4626,0.7402,0.7877,0.2223,56.52,Moderate
CD004736_pub6_data.rds,55::overall,9,-1.200582,-0.859397,0.715817,False,0.1952,0.279683,0.209302,43.0,0.2403,Low Fragility,25.53,-0.912502,True,0.2891,0.7597,0.9024,0.8579,67.38,Moderate
CD004736_pub6_data.rds,56::overall,16,-0.18134,-0.006644,0.03664,False,0.5976,0.14086,0.410256,39.0,0.0294,Robust,0.0,-0.038921,False,0.5374,0.9706,0.7012,0.5183,68.29,Moderate
CD004736_pub6_data.rds,57::overall,9,-0.246489,-0.217731,0.883329,False,0.0483,0.011094,0.128571,70.0,0.2273,Low Fragility,0.0,-0.217731,False,0.2891,0.7727,0.9758,0.9417,71.22,Stable
CD004736_pub6_data.rds,58::overall,8,0.408144,0.874015,2.141438,False,0.2216,0.328851,0.166667,48.0,0.3376,Moderate Fragility,71.65,0.831471,True,0.2592,0.6624,0.8892,0.4293,55.15,Moderate
CD004736_pub6_data.rds,59::overall,8,1.881149,1.597628,0.849283,False,0.0922,0.311451,0.166667,48.0,0.6718,High Fragility,84.27,1.446113,True,0.2592,0.3282,0.9539,0.9246,58.32,Moderate
CD004736_pub6_data.rds,5::overall,37,-2.924906,-0.725551,0.24806,False,0.2191,0.657647,0.627119,59.0,0.1754,Low Fragility,83.38,-1.677249,True,0.9644,0.8246,0.8904,0.624,84.29,Stable
CD004736_pub6_data.rds,61::overall,10,1.541932,0.180291,0.116925,False,1.3681,1.363622,0.208333,48.0,0.2042,Low Fragility,0.0,0.180291,False,0.3208,0.7958,0.3159,0.5585,48.59,Volatile
CD004736_pub6_data.rds,62::overall,8,-0.318505,-0.054476,0.171038,False,0.7182,0.715345,0.166667,48.0,0.3123,Moderate Fragility,0.0,-0.054476,False,0.2592,0.6877,0.6409,0.5855,52.7,Moderate
CD004736_pub6_data.rds,68::overall,6,0.197523,-0.167276,0.846865,True,8.5317,0.197089,0.136364,44.0,0.3093,Moderate Fragility,20.29,-0.298556,False,0.2059,0.6907,0,0.9234,41.91,Volatile
CD004736_pub6_data.rds,6::overall,19,-0.174089,-0.967944,5.560036,False,0.2767,0.242379,0.44186,43.0,0.1843,Low Fragility,84.68,-1.248685,True,0.6457,0.8157,0.8617,0,61.3,Moderate
CD004736_pub6_data.rds,7::overall,19,-0.174089,-0.94838,5.447661,False,0.2627,0.242379,0.44186,43.0,0.1972,Low Fragility,83.64,-1.205727,True,0.6457,0.8028,0.8687,0,61.16,Moderate
CD004736_pub6_data.rds,8::overall,19,-0.173731,-0.979646,5.638881,False,0.2818,0.242385,0.5,38.0,0.1835,Low Fragility,83.81,-1.277817,True,0.6457,0.8165,0.8591,0,61.26,Moderate
CD004736_pub6_data.rds,9::overall,20,0.087795,-0.600349,6.83808,True,0.4487,0.382895,0.769231,26.0,0.2059,Low Fragility,95.39,-0.825772,True,0.6792,0.7941,0.7756,0,59.62,Moderate
CD004762_pub3_data.rds,1::overall,7,0.059868,0.02564,0.42828,False,0.3103,0.014992,0.225806,31.0,0.198,Low Fragility,0.0,0.02564,False,0.2315,0.802,0.8448,0.7141,62.4,Moderate
CD004762_pub3_data.rds,2::overall,9,0.0,0.0,,False,,0.0,0.818182,11.0,0.165,Low Fragility,0.0,0.0,False,0.2891,0.835,0.5,0.5,52.05,Moderate
CD004762_pub3_data.rds,4::overall,6,-0.037303,-0.018712,0.501617,False,0.2633,0.009301,0.666667,9.0,0.2805,Low Fragility,0.0,-0.018712,False,0.2059,0.7195,0.8683,0.7508,60.89,Moderate
CD004871_pub5_data.rds,10::overall,11,-0.03474,-0.017026,0.490099,False,0.3026,0.008678,0.846154,13.0,0.1363,Robust,0.0,-0.017026,False,0.3543,0.8637,0.8487,0.745,68.34,Moderate
CD004871_pub5_data.rds,11::overall,8,-0.03474,-0.031786,0.914976,False,0.1281,0.011233,0.8,10.0,0.1816,Low Fragility,0.0,-0.031786,False,0.2592,0.8184,0.936,0.9575,70.79,Stable
CD004871_pub5_data.rds,12::overall,7,0.0,-0.02445,,False,1.303,0.013716,0.7,10.0,0.1966,Low Fragility,0.0,-0.02445,False,0.2315,0.8034,0.3485,0.5,45.74,Volatile
CD004871_pub5_data.rds,13::overall,6,0.0,-0.013716,,False,1.0081,0.01643,0.666667,9.0,0.2121,Low Fragility,0.0,-0.013716,False,0.2059,0.7879,0.496,0.5,48.27,Volatile
CD004871_pub5_data.rds,1::overall,26,0.0,-0.032146,,False,0.5729,0.033555,1.3,20.0,0.0019,Robust,0.0,-0.032146,False,0.8389,0.9981,0.7136,0.5,77.96,Stable
CD004871_pub5_data.rds,2::overall,9,-0.57458,-0.829035,1.442855,False,0.1563,0.232861,0.473684,19.0,0.3185,Moderate Fragility,58.93,-0.873668,True,0.2891,0.6815,0.9219,0.7786,64.33,Moderate
CD004871_pub5_data.rds,3::overall,9,-1.904594,-1.274186,0.669007,False,0.1336,0.144643,0.5,18.0,,,,,,0.2891,0.5,0.9332,0.8345,61.19,Moderate
CD004871_pub5_data.rds,4::overall,9,0.0,-0.026468,,False,0.5553,0.01675,0.9,10.0,0.1662,Low Fragility,0.0,-0.026468,False,0.2891,0.8338,0.7224,0.5,57.58,Moderate
CD004871_pub5_data.rds,8::overall,9,0.0,-0.031281,,False,1.7364,0.037603,0.473684,19.0,0.1692,Low Fragility,0.0,-0.031281,False,0.2891,0.8308,0.1318,0.5,42.74,Volatile
CD004871_pub5_data.rds,9::overall,12,-0.03474,-0.021228,0.611062,False,0.2744,0.008678,0.923077,13.0,0.1211,Robust,0.0,-0.021228,False,0.3894,0.8789,0.8628,0.8055,71.33,Stable
CD004925_pub4_data.rds,1::overall,32,-2.130489,-1.142981,0.536488,False,0.3241,0.347157,1.185185,27.0,0.0179,Robust,0.0,-1.142981,True,0.9276,0.9821,0.8379,0.7682,88.69,Stable
CD004925_pub4_data.rds,2::overall,11,-2.774873,-1.259062,0.453737,False,0.3469,0.833714,0.407407,27.0,0.1605,Low Fragility,0.0,-1.259063,True,0.3543,0.8395,0.8266,0.7269,66.82,Moderate
CD004925_pub4_data.rds,3::overall,10,-2.774873,-1.24037,0.447001,False,0.3692,0.833714,0.37037,27.0,0.2182,Low Fragility,14.57,-1.325371,True,0.3208,0.7818,0.8154,0.7235,64.02,Moderate
CD004925_pub4_data.rds,4::overall,10,0.081364,0.220706,2.712581,False,0.3848,0.142053,0.4,25.0,0.3621,Moderate Fragility,57.6,0.422677,False,0.3208,0.6379,0.8076,0.1437,48.64,Volatile
CD004925_pub4_data.rds,5::overall,8,-0.039262,0.135415,3.44902,True,0.7897,0.146586,0.32,25.0,0.384,Moderate Fragility,47.32,0.266259,False,0.2592,0.616,0.6052,0,38.31,Volatile
CD004925_pub4_data.rds,6::overall,8,-0.039262,0.285564,7.273301,True,0.736,0.138183,0.380952,21.0,0.3277,Moderate Fragility,26.8,0.34922,False,0.2592,0.6723,0.632,0,40.39,Volatile
CD004925_pub4_data.rds,7::overall,8,-0.433851,0.508831,1.172825,True,1.3937,0.849956,0.32,25.0,0.5583,High Fragility,47.42,0.214942,False,0.2592,0.4417,0.3032,0.9136,44.67,Volatile
CD004953_pub5_data.rds,10::nan,6,0.018955,-0.011453,0.604216,True,2.4742,0.036109,0.428571,14.0,0.3126,Moderate Fragility,0.0,0.007899,False,0.2059,0.6874,0,0.8021,39.4,Volatile
CD004953_pub5_data.rds,11::nan,6,0.018955,-0.011453,0.604216,True,2.4742,0.036109,0.428571,14.0,0.2801,Low Fragility,0.0,-0.011453,False,0.2059,0.7199,0,0.8021,40.22,Volatile
CD004953_pub5_data.rds,12::nan,8,0.115454,0.006147,0.053246,False,0.6838,0.125138,0.5,16.0,0.3299,Moderate Fragility,8.79,-0.235511,False,0.2592,0.6701,0.6581,0.5266,51.51,Moderate
CD004953_pub5_data.rds,13::1.0,6,0.439912,0.033101,0.075245,False,0.5534,0.253453,0.428571,14.0,0.2299,Low Fragility,26.4,-0.060015,False,0.2059,0.7701,0.7233,0.5376,54.26,Moderate
CD004953_pub5_data.rds,1::1.0,7,-0.014364,0.402628,28.031103,True,0.9507,0.277043,0.368421,19.0,,,7.67,0.162059,False,0.2315,0.5,0.5247,0,32.56,Volatile
CD004953_pub5_data.rds,2::nan,12,0.436982,-0.031964,0.073146,True,4.0869,0.4115,0.631579,19.0,0.2723,Low Fragility,26.89,-0.063379,False,0.3894,0.7277,0,0.5366,40.6,Volatile
CD004953_pub5_data.rds,3::1.0,6,-0.014364,0.524208,36.495568,True,1.2021,0.277043,0.375,16.0,0.196,Low Fragility,20.11,0.00446,False,0.2059,0.804,0.399,0,36.25,Volatile
CD004953_pub5_data.rds,3::2.0,11,0.436982,-0.041495,0.094959,True,3.6503,0.4115,0.6875,16.0,0.196,Low Fragility,20.11,0.00446,False,0.3543,0.804,0,0.5475,41.68,Volatile
CD004953_pub5_data.rds,4::nan,9,-0.387474,-0.231902,0.598497,False,0.2419,0.083868,1.0,9.0,0.2573,Low Fragility,0.0,-0.231902,False,0.2891,0.7427,0.879,0.7992,65.2,Moderate
CD004953_pub5_data.rds,5::2.0,6,0.062807,0.018461,0.293938,False,0.8295,0.122136,1.5,4.0,0.1204,Robust,0.0,-0.077695,False,0.2059,0.8796,0.5853,0.647,55.74,Moderate
CD004953_pub5_data.rds,6::nan,12,0.574602,-0.232416,0.404481,True,3.5719,0.375365,0.631579,19.0,0.1902,Low Fragility,0.0,-0.202376,False,0.3894,0.8098,0,0.7022,45.97,Volatile
CD004953_pub5_data.rds,7::1.0,7,0.382825,0.241542,0.630948,False,0.5517,0.171324,0.4375,16.0,0.0319,Robust,0.0,-0.071488,False,0.2315,0.9681,0.7242,0.8155,65.56,Moderate
CD004953_pub5_data.rds,8::1.0,7,-0.601033,-0.396199,0.659196,False,0.3226,0.379522,0.4375,16.0,0.2427,Low Fragility,51.85,-0.324325,False,0.2315,0.7573,0.8387,0.8296,63.44,Moderate
CD004953_pub5_data.rds,9::2.0,11,-0.111952,0.033103,0.295691,True,0.8279,0.063927,0.6875,16.0,0.0496,Robust,0.0,0.043614,False,0.3543,0.9504,0.586,0.6478,62.0,Moderate
CD005133_pub4_data.rds,1::overall,21,-1.015257,-0.045572,0.044887,False,0.9652,0.720675,0.724138,29.0,0.1903,Low Fragility,59.45,-0.550256,False,0.7109,0.8097,0.5174,0.5224,64.96,Moderate
CD005133_pub4_data.rds,2::overall,16,-0.284472,-0.085067,0.299036,False,2.1391,0.267916,0.551724,29.0,0.1045,Robust,0.0,-0.085067,False,0.5374,0.8955,0,0.6495,51.5,Moderate
CD005133_pub4_data.rds,3::overall,28,-0.451454,1.177473,2.608181,True,0.3903,0.850243,1.076923,26.0,0.118,Robust,35.55,0.887326,True,0.8754,0.882,0.8049,0.1959,72.35,Stable
CD005133_pub4_data.rds,4::overall,13,-0.721066,0.103408,0.14341,True,1.4565,0.461263,0.5,26.0,0.2476,Low Fragility,31.74,0.103866,False,0.4256,0.7524,0.2718,0.5717,49.81,Volatile
CD005133_pub4_data.rds,5::overall,19,0.238932,0.198552,0.830997,False,0.4844,0.288682,0.730769,26.0,0.0424,Robust,0.0,0.198552,False,0.6457,0.9576,0.7578,0.9155,80.57,Stable
CD005133_pub4_data.rds,7::overall,9,-0.42739,0.145413,0.340235,True,2.4138,0.801027,0.36,25.0,0.5151,High Fragility,34.47,0.095492,False,0.2891,0.4849,0,0.6701,34.2,Volatile
CD005133_pub4_data.rds,8::overall,56,-1.442063,-0.18006,0.124863,False,0.611,0.494026,1.931034,29.0,0.0576,Robust,1.23,-0.178647,True,0.9979,0.9424,0.6945,0.5624,82.11,Stable
CD005187_pub6_data.rds,4::overall,6,-0.552733,-0.190204,0.344115,False,0.4064,0.26188,0.5,12.0,0.3736,Moderate Fragility,34.23,-0.193051,False,0.2059,0.6264,0.7968,0.6721,55.2,Moderate
CD005187_pub6_data.rds,5::overall,10,-0.585911,-0.40773,0.695892,False,0.1419,0.093445,0.833333,12.0,0.1876,Low Fragility,15.24,-0.412924,True,0.3208,0.8124,0.9291,0.8479,70.12,Stable
CD005343_pub7_data.rds,10::overall,16,0.131645,0.020152,0.153077,False,0.4833,0.024748,2.666667,6.0,0.0611,Robust,0.0,0.020152,False,0.5374,0.9389,0.7583,0.5765,70.08,Stable
CD005343_pub7_data.rds,11::overall,15,0.196433,0.0412,0.20974,False,0.4545,0.033875,2.5,6.0,0.0767,Robust,0.0,0.0412,False,0.5,0.9233,0.7728,0.6049,69.5,Moderate
CD005343_pub7_data.rds,12::overall,16,0.196433,0.049477,0.251876,False,0.4042,0.032643,2.666667,6.0,0.0615,Robust,0.0,0.049477,False,0.5374,0.9385,0.7979,0.6259,72.05,Stable
CD005343_pub7_data.rds,13::overall,8,-0.091667,-0.091667,1.0,False,0.0,0.0,8.0,0.0,0.18,Low Fragility,0.0,-0.091667,False,0.2592,0.82,1.0,1.0,73.28,Stable
CD005343_pub7_data.rds,14::overall,8,-0.097638,-0.097638,1.0,False,0.0,0.0,8.0,0.0,0.18,Low Fragility,0.0,-0.097638,False,0.2592,0.82,1.0,1.0,73.28,Stable
CD005343_pub7_data.rds,2::overall,10,-0.081031,-0.060526,0.746949,False,0.5648,0.054753,1.666667,6.0,0.1574,Low Fragility,0.0,-0.060526,False,0.3208,0.8426,0.7176,0.8735,66.1,Moderate
CD005343_pub7_data.rds,3::overall,6,-0.004974,-0.003744,0.75273,False,0.594,0.008962,1.0,6.0,0.3451,Moderate Fragility,0.0,-0.003744,False,0.2059,0.6549,0.703,0.8764,57.65,Moderate
CD005343_pub7_data.rds,4::overall,9,-0.02044,-0.137241,6.714248,False,1.796,0.094974,1.5,6.0,0.1792,Low Fragility,0.0,-0.137241,False,0.2891,0.8208,0.102,0,31.74,Volatile
CD005343_pub7_data.rds,7::overall,32,-0.880617,-0.550216,0.624808,False,0.3168,0.707414,5.333333,6.0,0.1347,Robust,57.84,-0.738251,True,0.9276,0.8653,0.8416,0.8124,86.75,Stable
CD005343_pub7_data.rds,8::overall,9,-0.48186,-1.113942,2.311753,False,0.2773,0.353999,1.5,6.0,0.3863,Moderate Fragility,90.13,-1.409941,True,0.2891,0.6137,0.8614,0.3441,52.43,Moderate
CD005343_pub7_data.rds,9::overall,15,0.131645,0.012063,0.091632,False,0.5707,0.029084,2.5,6.0,0.0763,Robust,0.0,0.012063,False,0.5,0.9237,0.7147,0.5458,66.88,Moderate
CD005495_pub5_data.rds,1::overall,110,0.111226,-0.073344,0.65942,True,2.8068,0.068191,2.820513,39.0,0.0049,Robust,0.0,-0.073344,False,1.0,0.9951,0,0.8297,71.47,Stable
CD005495_pub5_data.rds,2::overall,45,0.111226,0.02807,0.252366,False,5.4177,0.176498,1.153846,39.0,0.0137,Robust,0.0,0.02807,False,0.989,0.9863,0,0.6262,66.85,Moderate
CD005495_pub5_data.rds,3::overall,24,0.251314,9.4e-05,0.000374,False,1.0038,0.115269,0.96,25.0,0.1377,Robust,0.0,9.4e-05,False,0.7941,0.8623,0.4981,0.5002,67.84,Moderate
CD005495_pub5_data.rds,4::overall,92,0.169418,-0.053191,0.313964,True,6.9111,0.046689,2.358974,39.0,0.0035,Robust,0.0,-0.053191,False,1.0,0.9965,0,0.657,68.05,Moderate
CD005495_pub5_data.rds,5::overall,12,0.0,-0.01381,,False,0.694,0.006946,4.0,3.0,0.1204,Robust,0.0,-0.01381,False,0.3894,0.8796,0.653,0.5,60.0,Moderate
CD005495_pub5_data.rds,6::overall,12,-0.281851,-0.13607,0.482774,False,0.2707,0.036833,0.5,24.0,0.122,Robust,0.0,-0.13607,False,0.3894,0.878,0.8647,0.7414,70.08,Stable
CD005495_pub5_data.rds,7::overall,12,0.080921,0.070247,0.868088,False,0.3004,0.049073,1.090909,11.0,0.1242,Robust,0.0,0.070247,False,0.3894,0.8758,0.8498,0.934,73.5,Stable
CD005495_pub5_data.rds,8::overall,36,-0.328504,-0.182422,0.555312,False,0.4318,0.079308,1.058824,34.0,0.0059,Robust,0.0,-0.182422,False,0.9589,0.9941,0.7841,0.7777,88.78,Stable
CD005566_pub4_data.rds,10::overall,30,0.038041,0.010461,0.274981,False,0.445,0.009389,1.071429,28.0,0.0007,Robust,0.0,0.010461,False,0.9047,0.9993,0.7775,0.6375,84.31,Stable
CD005566_pub4_data.rds,11::overall,25,0.000955,0.014044,14.711775,False,0.5555,0.01306,1.041667,24.0,0.0009,Robust,0.0,0.014044,False,0.8176,0.9991,0.7223,0,67.56,Moderate
CD005566_pub4_data.rds,1::overall,130,-0.255755,-0.151868,0.593804,False,4.5869,0.269752,3.023256,43.0,,,5.42,-0.137936,True,1.0,0.5,0,0.7969,58.44,Moderate
CD005566_pub4_data.rds,2::overall,108,0.0,0.1725,,False,3.2033,0.131176,2.454545,44.0,0.0015,Robust,0.0,0.1725,True,1.0,0.9985,0,0.5,64.96,Moderate
CD005566_pub4_data.rds,3::overall,102,0.0,-0.150126,,False,0.5066,0.267614,2.318182,44.0,0.0669,Robust,28.57,-0.246443,True,1.0,0.9331,0.7467,0.5,81.99,Stable
CD005566_pub4_data.rds,4::overall,96,-0.065456,-0.132366,2.022209,False,0.6145,0.241662,2.232558,43.0,0.153,Low Fragility,74.96,-0.435189,True,1.0,0.847,0.6927,0.4889,78.27,Stable
CD005566_pub4_data.rds,5::overall,86,-0.123284,-0.109786,0.890511,False,10.1269,0.150955,2.047619,42.0,,,0.0,-0.109786,False,1.0,0.5,0,0.9453,61.4,Moderate
CD005566_pub4_data.rds,6::overall,109,0.0,-0.142615,,False,1.195,0.397542,4.36,25.0,0.0051,Robust,0.0,-0.142615,False,1.0,0.9949,0.4025,0.5,74.93,Stable
CD005566_pub4_data.rds,7::overall,108,0.24452,-0.084264,0.34461,True,3.9623,0.305118,2.571429,42.0,0.009,Robust,0.0,-0.084264,False,1.0,0.991,0,0.6723,68.22,Moderate
CD005566_pub4_data.rds,8::overall,80,0.0,0.015048,,False,0.5217,0.00951,3.333333,24.0,0.0003,Robust,0.0,0.015048,False,0.9999,0.9997,0.7391,0.5,83.47,Stable
CD005566_pub4_data.rds,9::overall,32,0.012606,0.003952,0.313485,False,0.5935,0.008291,1.28,25.0,0.0132,Robust,0.0,0.003952,False,0.9276,0.9868,0.7032,0.6567,83.21,Stable
CD005582_pub5_data.rds,3::overall,6,0.508629,0.473947,0.931812,False,0.1593,0.225944,0.230769,26.0,0.2439,Low Fragility,0.0,0.473947,False,0.2059,0.7561,0.9204,0.9659,67.41,Moderate
